KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
guerrero-coyuca de benitez,guerrero-coyuca de benitez,100,12,Guerrero,21,Coyuca de Benítez,guerrero-coyuca de benitez
guerrero-cutzamala de pinzon,guerrero-cutzamala de pinzon,100,12,Guerrero,27,Cutzamala de Pinzón,guerrero-cutzamala de pinzon
oaxaca-san juan guichicovi,oaxaca-san juan guichicovi,100,20,Oaxaca,198,San Juan Guichicovi,oaxaca-san juan guichicovi
guerrero-arcelia,guerrero-arcelia,100,12,Guerrero,7,Arcelia,guerrero-arcelia
guerrero-tlalchapa,guerrero-tlalchapa,100,12,Guerrero,64,Tlalchapa,guerrero-tlalchapa
guerrero-ahuacuotzingo,guerrero-ahuacuotzingo,100,12,Guerrero,2,Ahuacuotzingo,guerrero-ahuacuotzingo
guerrero-tecoanapa,guerrero-tecoanapa,100,12,Guerrero,56,Tecoanapa,guerrero-tecoanapa
guerrero-atlixtac,guerrero-atlixtac,100,12,Guerrero,10,Atlixtac,guerrero-atlixtac
oaxaca-san juan mixtepec,oaxaca-san juan mixtepec,100,20,Oaxaca,208,San Juan Mixtepec,oaxaca-san juan mixtepec
guerrero-tlapa de comonfort,guerrero-tlapa de comonfort,100,12,Guerrero,66,Tlapa de Comonfort,guerrero-tlapa de comonfort
guerrero-copanatoyac,guerrero-copanatoyac,100,12,Guerrero,20,Copanatoyac,guerrero-copanatoyac
puebla-san gabriel chilac,puebla-san gabriel chilac,100,21,Puebla,124,San Gabriel Chilac,puebla-san gabriel chilac
oaxaca-heroica ciudad de huajuapan de leon,oaxaca-heroica ciudad de huajuapan de leon,100,20,Oaxaca,39,Heroica Ciudad de Huajuapan de León,oaxaca-heroica ciudad de huajuapan de leon
puebla-atzitzintla,puebla-atzitzintla,100,21,Puebla,23,Atzitzintla,puebla-atzitzintla
oaxaca-cuilapam de guerrero,oaxaca-cuilapam de guerrero,100,20,Oaxaca,23,Cuilápam de Guerrero,oaxaca-cuilapam de guerrero
oaxaca-salina cruz,oaxaca-salina cruz,100,20,Oaxaca,79,Salina Cruz,oaxaca-salina cruz
puebla-palmar de bravo,puebla-palmar de bravo,100,21,Puebla,110,Palmar de Bravo,puebla-palmar de bravo
morelos-jonacatepec,morelos-jonacatepec de leandro valle,90,17,Morelos,13,Jonacatepec de Leandro Valle,morelos-jonacatepec de leandro valle
guerrero-san marcos,guerrero-san marcos,100,12,Guerrero,53,San Marcos,guerrero-san marcos
guerrero-general canuto a. neri,guerrero-general canuto a. neri,100,12,Guerrero,31,General Canuto A. Neri,guerrero-general canuto a. neri
oaxaca-matias romero avendano,oaxaca-matias romero avendano,100,20,Oaxaca,57,Matías Romero Avendaño,oaxaca-matias romero avendano
