KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
guerrero-acatepec,guerrero-acatepec,100,12,Guerrero,76,Acatepec,guerrero-acatepec
guerrero-san luis acatlan,guerrero-san luis acatlan,100,12,Guerrero,52,San Luis Acatlán,guerrero-san luis acatlan
guerrero-tepecoacuilco de trujano,guerrero-tepecoacuilco de trujano,100,12,Guerrero,59,Tepecoacuilco de Trujano,guerrero-tepecoacuilco de trujano
guerrero-copanatoyac,guerrero-copanatoyac,100,12,Guerrero,20,Copanatoyac,guerrero-copanatoyac
guerrero-metlatonoc,guerrero-metlatonoc,100,12,Guerrero,43,Metlatónoc,guerrero-metlatonoc
guerrero-petatlan,guerrero-petatlan,100,12,Guerrero,48,Petatlán,guerrero-petatlan
guerrero-chilapa de alvarez,guerrero-chilapa de alvarez,100,12,Guerrero,28,Chilapa de Álvarez,guerrero-chilapa de alvarez
guerrero-tetipac,guerrero-tetipac,100,12,Guerrero,60,Tetipac,guerrero-tetipac
guerrero-jose joaquin de herrera,guerrero-jose joaquin de herrera,100,12,Guerrero,79,José Joaquín de Herrera,guerrero-jose joaquin de herrera
guerrero-taxco de alarcon,guerrero-taxco de alarcon,100,12,Guerrero,55,Taxco de Alarcón,guerrero-taxco de alarcon
guerrero-quechultenango,guerrero-quechultenango,100,12,Guerrero,51,Quechultenango,guerrero-quechultenango
guerrero-tixtla de guerrero,guerrero-tixtla de guerrero,100,12,Guerrero,61,Tixtla de Guerrero,guerrero-tixtla de guerrero
guerrero-cualac,guerrero-cualac,100,12,Guerrero,24,Cualác,guerrero-cualac
guerrero-general heliodoro castillo,guerrero-general heliodoro castillo,100,12,Guerrero,32,General Heliodoro Castillo,guerrero-general heliodoro castillo
guerrero-ometepec,guerrero-ometepec,100,12,Guerrero,46,Ometepec,guerrero-ometepec
guerrero-tlapa de comonfort,guerrero-tlapa de comonfort,100,12,Guerrero,66,Tlapa de Comonfort,guerrero-tlapa de comonfort
guerrero-pedro ascencio alquisiras,guerrero-pedro ascencio alquisiras,100,12,Guerrero,47,Pedro Ascencio Alquisiras,guerrero-pedro ascencio alquisiras
guerrero-san marcos,guerrero-san marcos,100,12,Guerrero,53,San Marcos,guerrero-san marcos
