KEY_benef_mun,best_match,match_score,CVE_ENT,Entidad_inegi,CVE_MUN,Municipio_inegi,KEY_inegi_municipio
guerrero-azoyu,guerrero-azoyu,100,12,Guerrero,13,Azoyú,guerrero-azoyu
guerrero-tecoanapa,guerrero-tecoanapa,100,12,Guerrero,56,Tecoanapa,guerrero-tecoanapa
guerrero-teloloapan,guerrero-teloloapan,100,12,Guerrero,58,Teloloapan,guerrero-teloloapan
guerrero-san miguel totolapan,guerrero-san miguel totolapan,100,12,Guerrero,54,San Miguel Totolapan,guerrero-san miguel totolapan
guerrero-coyuca de catalan,guerrero-coyuca de catalan,100,12,Guerrero,22,Coyuca de Catalán,guerrero-coyuca de catalan
guerrero-la union de isidoro montes de oca,guerrero-la union de isidoro montes de oca,100,12,Guerrero,68,La Unión de Isidoro Montes de Oca,guerrero-la union de isidoro montes de oca
guerrero-martir de cuilapan,guerrero-martir de cuilapan,100,12,Guerrero,42,Mártir de Cuilapan,guerrero-martir de cuilapan
guerrero-tlalchapa,guerrero-tlalchapa,100,12,Guerrero,64,Tlalchapa,guerrero-tlalchapa
guerrero-chilpancingo de los bravo,guerrero-chilpancingo de los bravo,100,12,Guerrero,29,Chilpancingo de los Bravo,guerrero-chilpancingo de los bravo
guerrero-ayutla de los libres,guerrero-ayutla de los libres,100,12,Guerrero,12,Ayutla de los Libres,guerrero-ayutla de los libres
guerrero-zitlala,guerrero-zitlala,100,12,Guerrero,74,Zitlala,guerrero-zitlala
guerrero-petatlan,guerrero-petatlan,100,12,Guerrero,48,Petatlán,guerrero-petatlan
guerrero-olinala,guerrero-olinala,100,12,Guerrero,45,Olinalá,guerrero-olinala
guerrero-juan r. escudero,guerrero-juan r. escudero,100,12,Guerrero,39,Juan R. Escudero,guerrero-juan r. escudero
guerrero-general heliodoro castillo,guerrero-general heliodoro castillo,100,12,Guerrero,32,General Heliodoro Castillo,guerrero-general heliodoro castillo
guerrero-leonardo bravo,guerrero-leonardo bravo,100,12,Guerrero,40,Leonardo Bravo,guerrero-leonardo bravo
guerrero-ometepec,guerrero-ometepec,100,12,Guerrero,46,Ometepec,guerrero-ometepec
guerrero-acatepec,guerrero-acatepec,100,12,Guerrero,76,Acatepec,guerrero-acatepec
guerrero-alcozauca de guerrero,guerrero-alcozauca de guerrero,100,12,Guerrero,4,Alcozauca de Guerrero,guerrero-alcozauca de guerrero
guerrero-tixtla de guerrero,guerrero-tixtla de guerrero,100,12,Guerrero,61,Tixtla de Guerrero,guerrero-tixtla de guerrero
guerrero-tlapehuala,guerrero-tlapehuala,100,12,Guerrero,67,Tlapehuala,guerrero-tlapehuala
guerrero-chilapa de alvarez,guerrero-chilapa de alvarez,100,12,Guerrero,28,Chilapa de Álvarez,guerrero-chilapa de alvarez
guerrero-zirandaro,guerrero-zirandaro,100,12,Guerrero,73,Zirándaro,guerrero-zirandaro
guerrero-acapulco de juarez,guerrero-acapulco de juarez,100,12,Guerrero,1,Acapulco de Juárez,guerrero-acapulco de juarez
guerrero-atoyac de alvarez,guerrero-atoyac de alvarez,100,12,Guerrero,11,Atoyac de Álvarez,guerrero-atoyac de alvarez
guerrero-coyuca de benitez,guerrero-coyuca de benitez,100,12,Guerrero,21,Coyuca de Benítez,guerrero-coyuca de benitez
guerrero-huitzuco de los figueroa,guerrero-huitzuco de los figueroa,100,12,Guerrero,34,Huitzuco de los Figueroa,guerrero-huitzuco de los figueroa
guerrero-ajuchitlan del progreso,guerrero-ajuchitlan del progreso,100,12,Guerrero,3,Ajuchitlán del Progreso,guerrero-ajuchitlan del progreso
guerrero-quechultenango,guerrero-quechultenango,100,12,Guerrero,51,Quechultenango,guerrero-quechultenango
guerrero-tlapa de comonfort,guerrero-tlapa de comonfort,100,12,Guerrero,66,Tlapa de Comonfort,guerrero-tlapa de comonfort
guerrero-benito juarez,guerrero-benito juarez,100,12,Guerrero,14,Benito Juárez,guerrero-benito juarez
guerrero-zihuatanejo de azueta,guerrero-zihuatanejo de azueta,100,12,Guerrero,38,Zihuatanejo de Azueta,guerrero-zihuatanejo de azueta
